beta,ctprime,yaw,ct,an,dPstar,us,A4,u4,v4
0.005,4.5,-0.2617993877991494,1.079103137291251,0.49303095497778254,0.008772080350124436,1.008733939500525,2.2171182174426596,0.22086981644102863,0.06982311089021385
0.005,4.5,-0.08726646259971647,1.0930110659407322,0.5052773473621188,0.00961842711793231,1.0095726096897957,2.3845357911200273,0.20668177236679192,0.02381554782086845
0.005,4.5,0.08726646259971647,1.0930110659407286,0.5052773473621196,0.009618427117931904,1.0095726096897952,2.384535791119945,0.2066817723667987,-0.023815547820868376
0.005,4.5,0.2617993877991494,1.079103137291251,0.49303095497778254,0.008772080350124436,1.008733939500525,2.2171182174426596,0.22086981644102863,-0.06982311089021385
0.005,4.5,0.4363323129985824,1.0489877722036745,0.4672747958360903,0.007248304554012531,1.0072222242921494,1.9134385767794566,0.25232741033042544,-0.11083034721899267
0.005,4.5,0.6108652381980153,0.9962909735609732,0.4255895642117125,0.005345491436414261,1.0053312801623298,1.5286359287862432,0.30781003761071973,-0.1428622565459548
0.005,4.5,0.7853981633974483,0.9075715684533283,0.36488966192100725,0.0034140697132664715,1.0034082615897342,1.1269023667880291,0.3985179551439323,-0.16043750261635956
0.005,5.6,-0.7853981633974483,0.9698413623836712,0.41146630076347757,0.0040336552463449,1.004025552709038,1.2163701493862091,0.34212954823136305,0.17144535100416936
0.005,5.6,-0.6108652381980153,1.0452437433410748,0.47258769824799673,0.006202041075019621,1.006182926783216,1.6583626868898624,0.2605165134513351,0.1498817953559463
0.005,5.6,-0.4363323129985824,1.0889377033465661,0.5134451650539308,0.00829641254079871,1.0082622799061747,2.076269695579456,0.21238495011964648,0.11505123983305876
0.005,5.6,-0.2617993877991494,1.113911694383704,0.538270534566199,0.009949537675036117,1.0099005274531112,2.4023176937610535,0.1856525540211459,0.07207539026723012
0.005,5.6,-0.08726646259971647,1.125593565956966,0.5499585021524838,0.010855642536039828,1.0107973511402173,2.5799426355400064,0.17377477618080198,0.024525485818240673
0.005,5.6,0.08726646259971647,1.125593565956965,0.549958502152484,0.010855642536039614,1.010797351140217,2.5799426355399726,0.17377477618080528,-0.024525485818240645
0.005,5.6,0.2617993877991494,1.1139116943837175,0.5382705345661962,0.00994953767503743,1.0099005274531125,2.4023176937612822,0.18565255402111544,-0.07207539026723099
0.005,5.6,0.4363323129985824,1.0889377033465661,0.5134451650539308,0.00829641254079871,1.0082622799061747,2.076269695579456,0.21238495011964648,-0.11505123983305876
0.005,5.6,0.6108652381980153,1.0452437433410748,0.47258769824799673,0.006202041075019621,1.006182926783216,1.6583626868898624,0.2605165134513351,-0.1498817953559463
0.005,5.6,0.7853981633974483,0.9698413623836712,0.41146630076347757,0.0040336552463449,1.004025552709038,1.2163701493862091,0.34212954823136305,-0.17144535100416936
0.005,6.7,-0.7853981633974483,1.0141471719890052,0.44979049526458065,0.004572363655801235,1.004561957925743,1.2955382659958234,0.3003051952143246,0.1792775856086418
0.005,6.7,-0.6108652381980153,1.0792084136208064,0.5100511524485779,0.00689977134523328,1.0068761307581318,1.764436257278118,0.22746222676766392,0.1547521289911722
0.005,6.7,-0.4363323129985824,1.1162708928360714,0.5496276835219334,0.009131401301309008,1.0090900864653354,2.2061392341616117,0.1850182124352757,0.11793911609052968
0.005,6.7,-0.2617993877991494,1.1378209780886521,0.5733656798727108,0.010862942969096033,1.0108045735641444,2.5455086851461832,0.16189184918682403,0.07362243476162911
0.005,6.7,-0.08726646259971647,1.148074456423303,0.584469028044717,0.011802875438265035,1.0117340316884325,2.7287370026125415,0.15170012759183388,0.025015320494801152
0.005,6.7,0.08726646259971647,1.148074456423303,0.584469028044717,0.011802875438265035,1.0117340316884325,2.7287370026125415,0.15170012759183388,-0.025015320494801152
0.005,6.7,0.2617993877991494,1.137820978088659,0.5733656798727095,0.010862942969096802,1.0108045735641453,2.5455086851463116,0.16189184918680646,-0.07362243476162958
0.005,6.7,0.4363323129985824,1.1162708928360796,0.5496276835219317,0.009131401301310202,1.0090900864653365,2.2061392341618267,0.185018212435258,-0.11793911609053061
